"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0037213",132.232081794287,0.45035418216931,0.144976666908581,3.1063907853068,0.00189386252407008,0.00840495494035991
"FBgn0053294",25.6530070850953,0.483179634219471,0.323085791664725,1.49551495820924,0.134780099046121,0.269448932187692
"FBgn0037215",1397.16090760581,-0.0845936519254163,0.0519038367315657,-1.62981500506243,0.103140601492952,0.220646781462396
"FBgn0037217",11.57121295486,-0.215421962136298,0.485152627667997,-0.444029259764656,0.65702142952062,0.794480086402606
"FBgn0037218",621.497915865188,-0.00184325041658023,0.0741199515975503,-0.0248684784171007,0.980159870033771,0.988871192305978
"FBgn0261436",188.076024166069,-0.00247910366808876,0.122813737309262,-0.0201858824786517,0.983895089742428,0.990850821593948
"FBgn0037220",392.230854615902,-0.125994697167249,0.0864427136631342,-1.45755138667035,0.14496423753948,0.283032836797721
"FBgn0015331",242.381433399991,-0.149319668172175,0.11883048624485,-1.25657710315602,0.208906810145042,0.369811884918063
"FBgn0010225",3806.18688939387,-0.44848771966276,0.0364473582817007,-12.3050816521848,8.50503749791897e-35,6.43636431483138e-33
"FBgn0037222",95.6916599237093,-0.636498676849118,0.178887858038772,-3.55808764120348,0.000373564680219269,0.00200439246808936
"FBgn0085334",21.0478462638478,-1.22514273793493,0.374637055389168,-3.27021238372235,0.00107466765183453,0.00509958229299664
"FBgn0037223",7.39465983274006,-2.50445807750462,0.738274420852854,-3.39231321953626,0.00069305165423152,0.00348444309203598
"FBgn0037225",22.7894526462984,0.19979718228843,0.371081659472138,0.538418370157772,0.590288246784873,0.74361784513475
"FBgn0250821",17.6612855188909,-0.0650518906616877,0.412142933220314,-0.1578381804424,0.874584312095352,0.933978395909559
"FBgn0037228",4125.24743577174,0.333286216946914,0.0372789594528562,8.94033046626195,3.88008289532155e-19,1.33596219120906e-17
"FBgn0037229",14.6088320396819,-0.164307862983586,0.431499997653008,-0.38078299855685,0.703364275767479,0.825219291808584
"FBgn0041605",16.102908575643,0.769545865794078,0.424052465829181,1.81474210812411,0.06956355075024,0.162710623374274
"FBgn0027930",349.018136278411,0.0779244577528001,0.0913741650184109,0.852806236172983,0.393766765077067,0.577805604581881
"FBgn0037231",154.427444377119,-0.339604290518552,0.132937839827501,-2.55460966538361,0.0106306936190416,0.036568176677243
"FBgn0037232",73.6456723574897,0.314067323110412,0.208346624674624,1.50742697944299,0.131701247642221,0.264531259087846
"FBgn0037234",207.164257686995,0.0744673322513288,0.116065717011106,0.641596279840353,0.521135349075884,0.690284708564886
"FBgn0027866",616.528783114423,-0.133271340916316,0.0718865190719903,-1.8539128425853,0.0637516302622021,0.151605759035973
"FBgn0040687",14.6831160458977,0.2911531942443,0.432124792876656,0.673771093544743,0.500456855171847,0.673424532843762
"FBgn0037236",298.105799817445,0.121440005832468,0.101737690165323,1.19365798098157,0.23261178344347,0.400076848181063
"FBgn0037235",189.511228932094,0.1787334518548,0.127656606636345,1.40011125600383,0.161480004903133,0.306947209738687
"FBgn0037239",208.625298299094,-1.09346665079265,0.121508560807762,-8.99909145103462,2.2759327431817e-19,7.94935162462263e-18
"FBgn0037240",600.965508152938,0.422047560800173,0.0725231011253065,5.8194913655299,5.90269729672872e-09,7.75462854624488e-08
"FBgn0003882",272.476333420266,-0.0682775272360739,0.101072097417498,-0.675532901568675,0.499337255163558,0.672665521743602
"FBgn0037241",190.803335436201,0.184051688655801,0.122797740484566,1.49881983112656,0.133920378484216,0.268320890702656
"FBgn0037242",163.939989401626,0.274975265919269,0.131922624206858,2.08436776915611,0.0371267272614434,0.0995665092485737
"FBgn0086605",182.895967471052,-0.17679546228648,0.12399388537637,-1.42584016743919,0.153914483492761,0.295738884574162
"FBgn0037244",82.5951784386791,-0.0101324523931094,0.182524665966951,-0.055512784200597,0.955729945336778,0.977368725442601
"FBgn0037245",3459.6137996884,0.166191152349182,0.0395337660625357,4.20377740097657,2.6249709654574e-05,0.000191662452905005
"FBgn0037248",591.241229506223,-0.23498051132047,0.0717770984863972,-3.27375327612334,0.00106129232186363,0.00504930498908924
"FBgn0051525",11.3096255882142,0.738384552528126,0.498764244768841,1.48042799834286,0.138759062660245,0.274246229060314
"FBgn0037249",2326.1624470006,-0.0358713386612217,0.0429604495865073,-0.834985178378764,0.40372605360583,0.585793844506962
