"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","direction"
"FBgn0037754",72.7305396718174,-2.14339843987712,0.221956105744335,-9.65685729928079,4.59751532332287e-22,1.95327186104916e-20,"CG8500","Down"
"FBgn0031912",293.296680296223,-1.00933448542026,0.105410438885983,-9.5752801723177,1.01581510939457e-21,4.16943320324946e-20,"CG5261","Down"
"FBgn0050147",250.555310138727,-1.05800889283479,0.11068654578593,-9.55860430301076,1.19355391981073e-21,4.87144338619381e-20,"Hil","Down"
"FBgn0039827",42.7235695663713,-4.06398306775319,0.433039562633418,-9.38478471352392,6.30451037505876e-21,2.48925368884793e-19,"CG1544","Down"
"FBgn0035542",157.443591595501,-1.34482674682707,0.144282334000763,-9.32079977871691,1.15466602728619e-20,4.46204717459265e-19,"CG11347","Down"
"FBgn0019660",98.5133137739563,1.78702766288991,0.192121425340133,9.30155322201127,1.38408756961399e-20,5.29231378591877e-19,"roX2","Up"
"FBgn0086378",171.568182551028,1.27296509869829,0.137166575142325,9.28043218530059,1.68792498178897e-20,6.38686197536293e-19,"Alg-2","Up"
"FBgn0013678",85.9186533217611,1.95577129639801,0.211049103426653,9.26690170507031,1.91631492399857e-20,7.2134859703884e-19,"mt:Cyt-b","Up"
"FBgn0035189",57.614159113617,2.51980319722972,0.273437978228242,9.21526414712739,3.10512826034775e-20,1.15685932366289e-18,"CG9119","Up"
"FBgn0001226",352.031159423059,1.63475119070414,0.181620843486044,9.00090077397837,2.23873217537151e-19,7.85719287636425e-18,"Hsp27","Up"
"FBgn0037239",208.625298299094,-1.09346665079265,0.121508560807762,-8.99909145103462,2.2759327431817e-19,7.94935162462263e-18,"CG11739","Down"
"FBgn0040827",60.2159779299177,-2.1702539996189,0.243311766378325,-8.91964261294446,4.67795328148744e-19,1.60308163160407e-17,"CG13315","Down"
"FBgn0003501",84.5043924531569,1.79610467830871,0.20228990053007,8.87886480542178,6.75461437496829e-19,2.28243132251835e-17,"Src64B","Up"
"FBgn0031049",158.30415672044,1.24062702063943,0.140177233188448,8.85041737820285,8.71925929404679e-19,2.90575315464449e-17,"Sec61gamma","Up"
"FBgn0052135",89.7843581937699,1.69083470938586,0.192028501453952,8.80512370082374,1.30708343477638e-18,4.316345978932e-17,"CG32135","Up"
"FBgn0034010",127.142977613224,-1.33918641981512,0.154036827957524,-8.69393662263935,3.50093021814415e-18,1.10105013137737e-16,"CG8157","Down"
"FBgn0063649",161.68606700352,-1.19142004384636,0.140222845468974,-8.49661864913431,1.9519339670326e-17,5.74121468440965e-16,"CG6006","Down"
"FBgn0036968",213.985445818991,-1.05698338913384,0.126858104706734,-8.332013091141,7.9479157408764e-17,2.25553155693231e-15,"CG6680","Down"
"FBgn0039109",131.098630885544,-1.26040972468767,0.152816019794125,-8.24789002086107,1.61215631278975e-16,4.48747724613699e-15,"CG10365","Down"
"FBgn0051038",163.221770135624,-1.12970674176206,0.137519019154889,-8.21491273501346,2.12318601803466e-16,5.86499863917179e-15,"CG31038","Down"
"FBgn0034718",152.09720399946,1.17030902785871,0.142670337059207,8.20288962640531,2.34676643801775e-16,6.45805233795415e-15,"wdp","Up"
"FBgn0261015",155.905495002228,-1.12171833919977,0.139492855260863,-8.04140353355067,8.88152507173853e-16,2.32939637711843e-14,"Pif1A","Down"
"FBgn0260966",174.490898650576,-1.02766024550516,0.130862149041002,-7.85299838827471,4.06206888646825e-15,1.03185071539132e-13,"sick","Down"
"FBgn0039257",132.231992216278,-1.16493425862815,0.151278320942416,-7.70060277884484,1.35425861307377e-14,3.32388135945302e-13,"tnc","Down"
"FBgn0023549",53.6657319998676,-1.88862676066105,0.249390234728692,-7.57297799857987,3.64764101155917e-14,8.68856129474667e-13,"Mct1","Down"
"FBgn0051092",46.1311842205489,2.16524851233461,0.285999969832968,7.57079979273833,3.70933348217074e-14,8.80663651894458e-13,"LpR2","Up"
"FBgn0052625",59.2653156217717,1.83793997835074,0.243104518205873,7.56028720451126,4.0218033676496e-14,9.48649398245921e-13,"CG32625","Up"
"FBgn0039113",131.728233502924,1.13892063510246,0.150835553416644,7.55074390158197,4.32779102960592e-14,1.01752109482482e-12,"CG10217","Up"
"FBgn0016715",39.0354635069389,-2.46519256130931,0.330050627195894,-7.469134605965,8.0723932098904e-14,1.86770498948579e-12,"Reg-2","Down"
"FBgn0010247",169.223669295717,1.02949263498056,0.139188442823257,7.3963945145059,1.39931866734907e-13,3.14738393755139e-12,"Parp","Up"
"FBgn0037680",136.935735914362,1.07485672282005,0.146564117494707,7.33369627705002,2.23890182559446e-13,4.89928366353728e-12,"CG8121","Up"
"FBgn0035968",86.4211118817862,1.37783817085315,0.18920027396338,7.28243221846408,3.27854679430572e-13,7.02614821847524e-12,"CG4484","Up"
"FBgn0001225",110.149460627035,1.18589974190747,0.164876520335117,7.19265386907179,6.3543890748224e-13,1.3381054095242e-11,"Hsp26","Up"
"FBgn0004108",150.665109093281,1.01230882209124,0.141016977145846,7.17863084700974,7.04129822944075e-13,1.47420840452124e-11,"Nrt","Up"
"FBgn0034434",26.0489526456836,-3.09165959904766,0.435050624040623,-7.10643641959004,1.19077475656995e-12,2.42324330713744e-11,"Rgk1","Down"
"FBgn0033359",98.6876131496035,-1.3428069007261,0.189485031531724,-7.08661201294567,1.37434984284869e-12,2.7735143356377e-11,"CG8213","Down"
