"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","direction"
"FBgn0033368",21.6032404302595,1.20932654650237,0.370171624894079,3.26693475451664,0.00108718733464118,0.00514890220741081,"CG13743","Up"
"FBgn0031688",12.1408247948388,1.67160355636501,0.512526442076753,3.26149720118183,0.00110825526615758,0.00523502893929444,"Cyp28d2","Up"
"FBgn0250757",26.7415683494698,1.06262780279263,0.327178659743161,3.24785181168848,0.00116279813491761,0.00545366588132758,"CG42235","Up"
"FBgn0039593",12.9524268269623,1.61532124233207,0.500250888113754,3.22902223806698,0.00124214235435387,0.00579586654102816,"CG9989","Up"
"FBgn0034950",26.7428537563225,1.06254945872394,0.330843378234363,3.2116388860328,0.00131980158433056,0.00609946470112057,"CG3105","Up"
"FBgn0040373",28.3040660842941,1.01070136495882,0.318879457431216,3.16954053139918,0.00152680162044749,0.00696545073999065,"CG3038","Up"
"FBgn0032533",21.0260551130829,1.17315055388254,0.372023302445273,3.1534329870509,0.00161362271829007,0.00730403055973669,"CG16888","Up"
"FBgn0086448",27.446962091426,1.02025368151849,0.327217165591836,3.1179711482225,0.00182100629131251,0.00814824162097318,"Gpi1","Up"
"FBgn0038351",19.5864526966383,-1.20316454334154,0.386045366194425,-3.11664029334727,0.00182924619446364,0.00817310799678866,"CG5302","Down"
"FBgn0035727",17.9968827118189,1.28784763020968,0.413268861598243,3.11624646780588,0.00183169110138776,0.00817900175266263,"CG10063","Up"
"FBgn0085438",14.1739139942958,-1.42146720299342,0.45924005251745,-3.09525964732663,0.00196640674322993,0.0086950365122127,"CG34409","Down"
"FBgn0025456",13.4786462188637,1.46296919162843,0.474809714953398,3.08116945705718,0.00206189266443433,0.00903280873361699,"CREG","Up"
"FBgn0035084",26.3123826734458,-1.03077520941658,0.335205149838429,-3.07505779643725,0.00210461764994617,0.00919425569865238,"CG15861","Down"
"FBgn0051849",15.0678781791556,1.40499342831151,0.457223440286532,3.07288145032773,0.00212002690559628,0.00924489523959001,"CG31849","Up"
"FBgn0033446",23.3777734696571,-1.10795025631858,0.36378599013658,-3.04561001896366,0.00232208805858095,0.0100180753272596,"CG1648","Down"
"FBgn0050383",22.7692300060619,1.10335535780704,0.363175657435733,3.03807630059096,0.00238093661281381,0.0102291570030115,"CG30383","Up"
"FBgn0035167",22.546916421131,1.09606809259092,0.36447892719114,3.00721937764077,0.00263649421577584,0.0111751052961561,"Gr61a","Up"
"FBgn0036926",19.638155851168,1.18330432186235,0.394662779458647,2.99826683297947,0.00271519832992546,0.0114618918459666,"CG7646","Up"
"FBgn0039651",20.587540690924,1.15681944148102,0.386533424836708,2.99280571135529,0.0027642566232017,0.0116419271696002,"CG14508","Up"
"FBgn0037672",24.3435509297113,1.06478583029102,0.355891741151661,2.99188125817528,0.00277264084490756,0.0116637149613511,"sage","Up"
"FBgn0037046",10.0658448643593,1.78148378567052,0.596941853669165,2.98435061090196,0.00284180932299482,0.0119064271808289,"CG10581","Up"
"FBgn0051082",11.7693627277119,-1.54261489366323,0.516942464654141,-2.9841133184818,0.0028440142219384,0.0119087973039669,"CG31082","Down"
"FBgn0243513",9.46778397311561,1.71500445200028,0.579884467354892,2.95749334315363,0.00310151445840258,0.0127935497394479,"cnir","Up"
"FBgn0051118",9.09002023193375,-1.74540685371567,0.59079375309904,-2.95434209410652,0.00313336458144836,0.0128900870239084,"RabX4","Down"
"FBgn0034139",7.63298585175505,2.01215856083601,0.683427792268145,2.94421529765142,0.00323774680959523,0.0132818919094914,"CG4927","Up"
"FBgn0034391",18.5352642557247,1.20413946511985,0.413382573957305,2.91289362682283,0.00358096562516168,0.014453175148222,"CG15080","Up"
"FBgn0030583",12.5019240907269,1.41685707188802,0.492249131337781,2.87833331069053,0.00399782494295375,0.0159583506651423,"CG14410","Up"
"FBgn0032084",9.88448547587376,1.68006825420008,0.587745081450628,2.85849819458031,0.00425651530915481,0.0168429105234257,"CG13101","Up"
"FBgn0035076",8.29223274507095,1.78837829994785,0.627902836534403,2.84817681318098,0.00439704879275367,0.0173047451134103,"Ance-5","Up"
"FBgn0053642",9.26610411760438,1.69758441374264,0.596513076543378,2.84584610211675,0.00442935960159872,0.0174224675179289,"CG33642","Up"
"FBgn0053641",11.4650216648643,1.45611227852754,0.516290043217271,2.82033771066695,0.00479731326258514,0.018677642471962,"CG33641","Up"
"FBgn0085586",46.9195429298586,1.17231760017977,0.422903854338516,2.7720664830862,0.0055701658835011,0.0210766953873102,"CG41265","Up"
"FBgn0031844",11.937108899783,1.43484069898023,0.517952063492402,2.77021909963156,0.00560185961700875,0.0211635518032078,"CG13771","Up"
"FBgn0029090",10.4200950807103,-1.48774211597193,0.537730466623415,-2.76670601410023,0.0056625794030339,0.0213374685492953,"cngl","Down"
"FBgn0036155",17.7906611639414,-1.08854549061816,0.399740695110013,-2.72312902822812,0.00646667962894299,0.0240186234684411,"CG6163","Down"
"FBgn0002945",14.4203831095614,-1.20481592495761,0.447092435602465,-2.69478038324246,0.00704350385529445,0.0257788692739114,"nkd","Down"
"FBgn0031717",15.5324584274903,1.17635234614928,0.439225668558473,2.67824134689132,0.00740098688743748,0.0268840848686166,"Oscillin","Up"
"FBgn0053640",6.89805009748676,1.82006981285547,0.698373104532678,2.60615679647827,0.00915645350536669,0.0323061339448888,"CG33640","Up"
"FBgn0038530",10.0638942367304,1.43047784983288,0.561224250145314,2.54885252991562,0.0108077991502935,0.0370371041636236,"AttD","Up"
"FBgn0003996",15.0104520851582,1.14845971323863,0.450625183860601,2.54859194375142,0.010815877193888,0.0370473115575656,"w","Up"
"FBgn0042701",18.2064673147726,-1.00695595360335,0.395577965366583,-2.54553094905121,0.0109111691109535,0.0373385038111526,"CR12628","Down"
"FBgn0053555",18.6736300084606,1.01193080888898,0.398908303829374,2.53675042403184,0.0111886687593655,0.0380976514386131,"btsz","Up"
"FBgn0050148",11.1544676292709,-1.29413888976259,0.51569063702922,-2.50952566681808,0.0120893429567836,0.0405489734907815,"CG30148","Down"
"FBgn0034804",8.92359739083376,-1.47850344604082,0.590299455606948,-2.50466679580555,0.0122566799124355,0.0410533792364426,"CG3831","Down"
"FBgn0027585",13.1643007597144,-1.1586673072401,0.467606737263134,-2.47786700855015,0.0132170399792195,0.0438455686981872,"CG8740","Down"
"FBgn0030377",12.0050688195104,-1.22098275462779,0.492952269255053,-2.4768782512614,0.0132537103896168,0.043847088333591,"CG1924","Down"
"FBgn0260431",10.6380675935294,1.31454353397376,0.538702699889109,2.44020223816283,0.0146790416004856,0.0475625682877945,"CG42526","Up"
"FBgn0034239",16.6397689079891,-1.01413135734924,0.4158924429691,-2.43844622448354,0.0147505531876503,0.0476914859404894,"CG18631","Down"
"FBgn0038416",14.8036095578885,1.11736501290738,0.458321550373351,2.43794997638049,0.0147708178727136,0.0477145361695261,"CG17930","Up"
